id,url,Category Name,Course Name,Instructor/ Provider Name,Course Description,# of Students Enrolled,# of Ratings
1,https://www.coursera.org/learn/learning-how-to-learn,computer-science,Learning How to Learn: Powerful mental tools to help you master tough subjects,Barbara Oakley +1 more instructorTop Instructors,"This course gives you easy access to the invaluable learning techniques used by experts in art, music, literature, math, science, sports, and many other disciplines. Well learn about how the brain uses two very different learning modes and how it encapsulates (chunks) information. Well also cover illusions of learning, memory techniques, dealing with procrastination, and best practices shown by research to be most effective in helping you master tough subjects.  Using these approaches, no matter what your skill levels in topics you would like to master, you can change your thinking and change your life. If youre already an expert, this peep under the mental hood will give you ideas for turbocharging successful learning, including counter-intuitive test-taking tips and insights that will help you make the best use of your time on homework and problem sets. If youre struggling, youll see a structured treasure trove of practical techniques that walk you through what you need to do to get on track. If youve ever wanted to become better at anything, this course will help serve as your guide.This course can be taken independent of, concurrent with, or prior to, its companion course, Mindshift. (Learning How to Learn is more learning-focused, and Mindshift is more career-focused.)  A related course by the same instructors is Uncommon Sense Teaching.To join the fully translated Portuguese version of the course, visit: https://www.coursera.org/learn/aprenderTo join the fully translated Spanish version of the course, visit: https://www.coursera.org/learn/aprendiendo-a-aprenderTo join the fully translated Chinese version of the course, visit: https://www.coursera.org/learn/ruhe-xuexiTo join the fully translated French version of the course, visit : http://www.coursera.org/learn/apprendre-comment-apprendre","3,287,257","82,379"
2,https://www.coursera.org/specializations/python,computer-science,Python for Everybody Specialization,Charles Russell Severance ,"This Specialization builds on the success of the Python for Everybody course and will introduce fundamental programming concepts including data structures, networked application program interfaces, and databases, using the Python programming language. In the Capstone Project, youll use the technologies learned throughout the Specialization to design and create your own applications for data retrieval, processing, and visualization.","1,318,278","1,318,278"
3,https://www.coursera.org/learn/python,computer-science,Programming for Everybody (Getting Started with Python),Charles Russell Severance ,"This course aims to teach everyone the basics of programming computers using Python. We cover the basics of how one constructs a program from a series of simple instructions in Python.  The course has no pre-requisites and avoids all but the simplest mathematics. Anyone with moderate computer experience should be able to master the materials in this course. This course will cover Chapters 1-5 of the textbook Python for Everybody.  Once a student completes this course, they will be ready to take more advanced programming courses. This course covers Python 3.","2,624,118","211,793"
4,https://www.coursera.org/professional-certificates/google-it-support,computer-science,Google IT Support Professional Certificate,Google Career Certificates Top Instructor,"Prepare for a career in the high-growth field of IT, no experience or degree required. Get professional training designed by Google and get on the fast-track to a competitively paid job. There are 400,000 U.S. job openings in IT and a $52,000 median entry-level salary in IT support.Over 5 courses, learn in-demand skills that prepare you for an entry-level job. Upon completion, you can directly apply for jobs with Google and over 150 U.S. employers, including Walmart, Best Buy, and Astreya.75% of Google Career Certificate Graduates in the United States report an improvement in their career trajectory (e.g. new job or career, promotion or raise) within 6 months of certificate completionThis program also prepares you for the CompTIA A+ exams, the industry standard certification for ITyoull earn a dual credential when you complete both.This program is ACE approvedwhen you complete, you can earn up to 12 college credits, the equivalent of 4 associate degree-level courses.If youre interested in building on your IT foundations, check out the Google IT Automation with Python Professional Certificate.Check out all Google Career Certificates here.US Burning Glass Labor Insight Report salary data (median with 0-5 years experience) and job opening data. Data for job roles relevant to featured programs (4/01/2021 - 3/31/22).Based on program graduate survey responses, United States 2021","1,015,010","1,015,010"
5,https://www.coursera.org/specializations/deep-learning,computer-science,Deep Learning Specialization,Andrew Ng +2 more instructorsTop Instructors,"The Deep Learning Specialization is a foundational program that will help you understand the capabilities, challenges, and consequences of deep learning and prepare you to participate in the development of leading-edge AI technology.In this Specialization, you will build and train neural network architectures such as Convolutional Neural Networks, Recurrent Neural Networks, LSTMs, Transformers, and learn how to make them better with strategies such as Dropout, BatchNorm, Xavier/He initialization, and more. Get ready to master theoretical concepts and their industry applications using Python and TensorFlow and tackle real-world cases such as speech recognition, music synthesis, chatbots, machine translation, natural language processing, and more.AI is transforming many industries. The Deep Learning Specialization provides a pathway for you to take the definitive step in the world of AI by helping you gain the knowledge and skills to level up your career. Along the way, you will also get career advice from deep learning experts from industry and academia.","701,583","701,583"
6,https://www.coursera.org/professional-certificates/google-data-analytics,computer-science,Google Data Analytics Professional Certificate,Google Career Certificates Top Instructor,"Prepare for a new career in the high-growth field of data analytics, no experience or degree required. Get professional training designed by Google and have the opportunity to connect with top employers. There are 380,000 U.S. job openings in data analytics with a $74,000 median entry-level salary.Data analytics is the collection, transformation, and organization of data in order to draw conclusions, make predictions, and drive informed decision making.Over 8 courses, gain in-demand skills that prepare you for an entry-level job. Youll learn from Google employees whose foundations in data analytics served as launchpads for their own careers. At under 10 hours per week, you can complete the certificate in less than 6 months.Youll prepare yourself for jobs that include junior or associate data analyst, database administrator, and more. Upon completion of the certificate, you can directly apply for jobs with Google and over 150 U.S. employers, including Walmart, Best Buy, Astreya.75% of Google Career Certificate Graduates in the United States report an improvement in their career trajectory (e.g. new job or career, promotion or raise) within 6 months of certificate completionUS Burning Glass Labor Insight Report salary data (median with 0-5 years experience) and job opening data. Data for job roles relevant to featured programs (4/01/2021 - 3/31/22).Based on program graduate survey responses, United States 2021","976,179","976,179"
7,https://www.coursera.org/learn/neural-networks-deep-learning,computer-science,Neural Networks and Deep Learning,Andrew Ng +2 more instructorsTop Instructors,"In the first course of the Deep Learning Specialization, you will study the foundational concept of neural networks and deep learning. By the end, you will be familiar with the significant technological trends driving the rise of deep learning; build, train, and apply fully connected deep neural networks; implement efficient (vectorized) neural networks; identify key parameters in a neural networks architecture; and apply deep learning to your own applications.The Deep Learning Specialization is our foundational program that will help you understand the capabilities, challenges, and consequences of deep learning and prepare you to participate in the development of leading-edge AI technology. It provides a pathway for you to gain the knowledge and skills to apply machine learning to your work, level up your technical career, and take the definitive step in the world of AI.","1,100,118","114,721"
8,https://www.coursera.org/learn/algorithms-part1,computer-science,"Algorithms, Part I",Kevin Wayne +1 more instructor,"This course covers the essential information that every serious programmer needs to know about algorithms and data structures, with emphasis on applications and scientific performance analysis of Java implementations. Part I covers elementary data structures, sorting, and searching algorithms. Part II focuses on graph- and string-processing algorithms.All the features of this course are available for free.  It does not offer a certificate upon completion.","990,937","9,711"
9,https://www.coursera.org/learn/python-data,computer-science,Python Data Structures,Charles Russell Severance ,"This course will introduce the core data structures of the Python programming language. We will move past the basics of procedural programming and explore how we can use the Python built-in data structures such as lists, dictionaries, and tuples to perform increasingly complex data analysis. This course will cover Chapters 6-10 of the textbook Python for Everybody.  This course covers Python 3.","879,897","89,709"
10,https://www.coursera.org/specializations/data-science-python,computer-science,Applied Data Science with Python Specialization,Christopher Brooks +3 more instructors,"The 5 courses in this University of Michigan specialization introduce learners to data science through the python programming language. This skills-based specialization is intended for learners who have a basic python or programming background, and want to apply statistical, machine learning, information visualization, text analysis, and social network analysis techniques through popular python toolkits such as pandas, matplotlib, scikit-learn, nltk, and networkx to gain insight into their data.Introduction to Data Science in Python (course 1), Applied Plotting, Charting & Data Representation in Python (course 2), and Applied Machine Learning in Python (course 3) should be taken in order and prior to any other course in the specialization. After completing those, courses 4 and 5 can be taken in any order. All 5 are required to earn a certificate.","344,470","344,470"
